Aigwon, Skeelz, 4, 6, 6, -, soa, 0, 0, -, U, 8500
Angie, Bangers, 5, 6, 8, -, pop, 0, 0, -, R, 2000
Aniki, Montana, 4, 6, 6, Revenge:, -pow, 2, 5, -, C, 900
Arawaka, Nightmare, 3, 6, 2, -, -lif, 6, 6, -, U, 300
Ash, Rescue, 3, 7, 3, -, hl, 1, 8, -, U, 4500
Astrid, GHEIST, 3, 6, 3, -, -lif, 3, 3, -, U, 1300
Avola, Montana, 5, 7, 5, Support:, +dam, 1, 0, -, U, 2000
Baldovino, Freaks, 5, 8, 6, -, -pil, 2, 3, -, R, 3900
Belgosi, Skeelz, 4, 7, 5, -, -pow, 2, 5, -, R, 3300
Bella Ld, Montana, 3, 5, 5, Revenge:, +pow, 2, 0, -, L, 0
Benson, Rescue, 4, 6, 6, Confidence:, +lif, 2, 0, -, R, 1200
Bonnie Ld, Piranas, 2, 7, 2, Defeat:, +pil, 2, 0, -, L, 0
Brittany, Pussycats, 2, 6, 2, -, -atk, 9, 6, -, U, 1150
Buba, Jungo, 4, 6, 5, Support:, +pow, 1, 0, -, C, 600
Burdock, Roots, 4, 7, 4, -, sob, 0, 0, -, U, 650
Butch, Vortex, 2, 6, 3, Courage:, +pow, 2, 0, -, U, 300
C Beast, Vortex, 5, 5, 8, -, -pow, 4, 4, -, R, 5400
C Blade, Vortex, 3, 7, 4, Stop:, +pow, 2, 0, -, C, 800
C Wing, Vortex, 2, 6, 3, Defeat:, -lif, 2, 2, -, U, 4600
Candice, Pussycats, 3, 6, 5, -, +pil, 2, 0, -, U, 2100
Chlora, Bangers, 4, 6, 6, -, sob, 0, 0, -, C, 450
Chwing, Skeelz, 3, 7, 3, -, sob, 0, 0, -, R, 670
Cliff, Rescue, 5, 6, 8, Revenge:, soa, 0, 0, -, U, 2300
Cyb Lhia, Vortex, 2, 8, 1, -, poi, 2, 4, -, R, 7300
Dagg, Vortex, 4, 7, 5, -, +atk, 12, 0, -, R, 16300
Davina, All_Stars, 3, 6, 4, Protection:, bonus, 0, 0, -, U, 580
Deea, Vortex, 3, 6, 5, -, +atk, 10, 0, -, U, 2500
Ditha, Pussycats, 5, 7, 5, -, lpd, 1, 0, -, U, 2300
Draheera, GHEIST, 4, 5, 6, Support:, +pow, 1, 0, -, R, 16500
Drake, Skeelz, 3, 7, 4, Revenge:, +lif, 2, 0, -, C, 450
Dregn, Vortex, 5, 8, 4, -, -lif, 4, 0, -, R, 48000
Drorb, Vortex, 2, 8, 1, Stop:, +dam, 3, 0, -, C, 250
